No.	PVI Station	PVI Elevation	Grade In	
      1  	2.83m	541.25m		0.33%									
      2  	30.83m	541.34m	0.33%	0.09%	0.24%								
      3  	51.50m	541.36m	0.09%	0.07%	0.02%								
      4  	66.66m	541.37m	0.07%	0.08%	0.01%								
      5  	80.00m	541.38m	0.08%	0.06%	0.02%								
      6  	100.00m	541.40m	0.06%	0.21%	0.14%								
      7  	125.59m	541.45m	0.21%	0.07%	0.14%								
      8  	138.34m	541.46m	0.07%	0.31%	0.24%								
      9  	155.08m	541.51m	0.31%	0.25%	0.06%								
     10  	176.74m	541.56m	0.25%	0.48%	0.24%								
     11  	192.75m	541.64m	0.48%	0.26%	0.23%								
     12  	217.47m	541.70m	0.26%	0.39%	0.13%								
     13  	241.01m	541.80m	0.39%	0.34%	0.05%								
     14  	270.58m	541.90m	0.34%	0.31%	0.03%								
     15  	291.40m	541.96m	0.31%	0.17%	0.14%								
     16  	314.61m	542.00m	0.17%	0.40%	0.23%								
     17  	338.71m	542.10m	0.40%	0.74%	0.34%								
     18  	350.94m	542.19m	0.74%	0.33%	0.41%								
     19  	369.28m	542.25m	0.33%	0.59%	0.27%								
     20  	383.33m	542.33m	0.59%	0.43%	0.16%								
     21  	412.83m	542.46m	0.43%										
